model,device,dtype,batch_size,avg_epoch_time_s,inference_time_s,vram_usage_mb,status
3_ComplexCNN,cuda,float32,256,14.817678689956665,10.891429662704468,397.29638671875,Success
3_ComplexCNN,cuda,float16,32,15.897814273834229,10.984999179840088,54.142578125,Success
3_ComplexCNN,cuda,float16,64,14.730332374572754,10.89699912071228,69.298828125,Success
3_ComplexCNN,cuda,float16,128,14.458332459131876,10.844001770019531,103.67529296875,Success
3_ComplexCNN,cuda,float16,256,14.269665877024332,10.861000061035156,173.95947265625,Success
3_ComplexCNN,cuda,float64,32,102.08233269055684,18.440001249313354,138.3662109375,Success
3_ComplexCNN,cuda,float64,64,91.235999584198,18.416463136672974,195.11865234375,Success
3_ComplexCNN,cuda,float64,128,89.96408120791118,18.314706802368164,309.6240234375,Success
3_ComplexCNN,cuda,float64,256,88.80078315734863,18.439186334609985,535.634765625,Success
4_UltraComplexCNN,cuda,float32,32,24.268466075261433,11.262973546981812,101.2529296875,Success
4_UltraComplexCNN,cuda,float32,64,18.769628604253132,11.029512643814087,217.16455078125,Success
4_UltraComplexCNN,cuda,float32,128,16.47779154777527,11.056018352508545,398.79248046875,Success
4_UltraComplexCNN,cuda,float32,256,15.73853341738383,10.966975688934326,759.29833984375,Success
4_UltraComplexCNN,cuda,float16,32,24.459278504053753,11.555999755859375,54.30078125,Success
4_UltraComplexCNN,cuda,float16,64,18.09799869855245,10.997997045516968,82.05078125,Success
4_UltraComplexCNN,cuda,float16,128,15.199648777643839,10.973000764846802,140.552734375,Success
4_UltraComplexCNN,cuda,float16,256,14.67966604232788,10.933000326156616,270.3076171875,Success
4_UltraComplexCNN,cuda,float64,32,269.37899764378864,20.486997604370117,148.5576171875,Success
4_UltraComplexCNN,cuda,float64,64,147.57133293151855,19.886998414993286,245.62060546875,Success
4_UltraComplexCNN,cuda,float64,128,141.0470162232717,19.128997564315796,447.0009765625,Success
4_UltraComplexCNN,cuda,float64,256,136.7526650428772,19.74785876274109,843.63671875,Success
1_SimpleCNN,cpu,float32,32,21.423995971679688,11.709427118301392,0.0,Success
1_SimpleCNN,cpu,float32,64,20.766978820164997,11.612422227859497,0.0,Success
1_SimpleCNN,cpu,float32,128,20.871863842010498,11.647042751312256,0.0,Success
1_SimpleCNN,cpu,float32,256,20.89882453282674,11.619179010391235,0.0,Success
1_SimpleCNN,cpu,float64,32,26.268964370091755,12.074091911315918,0.0,Success
1_SimpleCNN,cpu,float64,64,27.507721265157063,12.212278127670288,0.0,Success
1_SimpleCNN,cpu,float64,128,27.72670062383016,12.337977886199951,0.0,Success
1_SimpleCNN,cpu,float64,256,27.70908522605896,12.223984003067017,0.0,Success
2_MediumCNN,cpu,float32,32,49.95774579048157,14.869260787963867,0.0,Success
2_MediumCNN,cpu,float32,64,50.133554538091026,14.851972818374634,0.0,Success
2_MediumCNN,cpu,float32,128,50.806195179621376,14.725385427474976,0.0,Success
2_MediumCNN,cpu,float32,256,51.62729128201803,14.742855787277222,0.0,Success
2_MediumCNN,cpu,float64,32,93.97829715410869,18.4064998626709,0.0,Success
2_MediumCNN,cpu,float64,64,94.16048121452332,18.240352392196655,0.0,Success
2_MediumCNN,cpu,float64,128,94.82293725013733,18.5064377784729,0.0,Success
2_MediumCNN,cpu,float64,256,93.85523462295532,18.129626750946045,0.0,Success
3_ComplexCNN,cpu,float32,32,195.48316311836243,25.14337992668152,0.0,Success
3_ComplexCNN,cpu,float32,64,192.9713168144226,25.030997276306152,0.0,Success
3_ComplexCNN,cpu,float32,128,187.96246576309204,25.042115688323975,0.0,Success
3_ComplexCNN,cpu,float32,256,185.63172133763632,24.814510107040405,0.0,Success
3_ComplexCNN,cpu,float64,32,522.4362040360769,60.78420925140381,0.0,Success
3_ComplexCNN,cpu,float64,64,470.85133266448975,53.148794174194336,0.0,Success
3_ComplexCNN,cpu,float64,128,445.55927324295044,59.48814916610718,0.0,Success
3_ComplexCNN,cpu,float64,256,571.1324430306753,59.28699827194214,0.0,Success
4_UltraComplexCNN,cpu,float32,32,344.0841341813405,36.466800689697266,0.0,Success
4_UltraComplexCNN,cpu,float32,64,339.78033415476483,36.16752576828003,0.0,Success
4_UltraComplexCNN,cpu,float32,128,340.3946364720662,36.134456396102905,0.0,Success
4_UltraComplexCNN,cpu,float32,256,342.5203697681427,36.59184551239014,0.0,Success
4_UltraComplexCNN,cpu,float64,32,980.9103581905365,89.2409999370575,0.0,Success
4_UltraComplexCNN,cpu,float64,64,978.3240729173025,88.89999866485596,0.0,Success
4_UltraComplexCNN,cpu,float64,128,969.3781247933706,88.87999963760376,0.0,Success
4_UltraComplexCNN,cpu,float64,256,1169.411250591278,104.39060711860657,0.0,Success
